Actual,Predicted
-0.22833530757102138,-0.22805777381945594
-0.23040372117052368,-0.230586067788881
-0.22969830844005756,-0.2297750857075587
-0.22245288276781253,-0.2206774377911352
-0.22981189184581058,-0.22818933112437484
-0.22985373836371958,-0.22921715213124574
-0.22978200147587557,-0.2288788646811452
-0.21700087929166775,-0.20776896182853063
-0.19225763105947122,-0.19765150944494253
-0.1982297269724851,-0.19885560799848623
-0.20263556750090472,-0.20783332752761619
0.029917488667415462,0.058658685221758114
-0.2285325840125924,-0.22852892781260406
-0.23039774309653668,-0.22965038833863113
-0.22492780539843088,-0.22206375133111173
-0.17503479990292178,-0.16908085730993597
-0.22401316007841976,-0.224580818248438
-0.20735226787664837,-0.2072217178464042
-0.2305830633901337,-0.23036105540451782
-0.2283711760149434,-0.22747039558177146
-0.22299090942664263,-0.2243466492566665
-0.09919695330382895,-0.10408117860392753
-0.22946516355456453,-0.2300822250868879
-0.19070930989683801,-0.18779315005981495
-0.22875975082409844,-0.22754243884258862
-0.21765846743023784,-0.21838264785646103
-0.21145920470571797,-0.2116056251225409
-0.23105533123510677,-0.22998822095114424
-0.10698638370889106,-0.10648989273634857
-0.22464683592104184,-0.22166977491000373
-0.21075977004923888,-0.2138875616023961
-0.2102157653164218,-0.21399807510884883
-0.1295715472317803,-0.12099946072405136
-0.15546258566948098,-0.15023130107225613
-0.2264522142651161,-0.22631746542235145
-0.11815940399059566,-0.12704996426761536
-0.23075642753575673,-0.23081288312986295
-0.1922038283935882,-0.19205492458386755
-0.22952494429443454,-0.22532146184469548
-0.22941733896266853,-0.22890082028025083
-0.21211081477030105,-0.20964701043859327
-0.19720149824672092,-0.2026042003604437
-0.14327927088397324,-0.14112990373897288
-0.2285086717166444,-0.22885026447511744
-0.18792352741889562,-0.1895585161923739
-0.22899289570959147,-0.22867259788929173
-0.23012872976712162,-0.22960692517871917
-0.22945320740659053,-0.22953661426176217
-0.1562756037317131,-0.14845978690926917
-0.21830409942083395,-0.22141904599055762
-0.20450072658484897,-0.20526168990808796
-0.23082218634961374,-0.2315694723171548
-0.22651797307897312,-0.22619006218413887
-0.22883148771194245,-0.22875400271908555
-0.2124515649875601,-0.21244423819167416
-0.225597349684975,-0.22385503897427772
-0.19465483872825856,-0.19578751392078905
-0.22627885011949309,-0.22725564262907588
-0.1990786134786392,-0.20139909660573763
-0.22100021078897134,-0.22075924378946968
-0.22519084065385891,-0.2231880963317165
-0.22652992922694712,-0.22425611564626957
-0.22881355348998145,-0.22875400271908555
-0.18326660778302195,-0.1803940759895673
-0.2236006729733167,-0.22331401401499126
-0.22608157367792206,-0.2258918039786239
-0.005137937192357538,0.013605745550570966
-0.17495708494109077,-0.17412967953010272
-0.23036785272660168,-0.2301165226913436
-0.2304635019103937,-0.23068528209198724
-0.21324067075384423,-0.2131793113599994
-0.2263446089333501,-0.22725564262907588
-0.2166661071483957,-0.21795581187714422
-0.20900819437104762,-0.2095914364458635
-0.2158351548642026,-0.21618734382535615
-0.20362792778274685,-0.19988744021836313
-0.06748924887677643,-0.07664510211499984
-0.22198659299682647,-0.22170055708155112
-0.1848866658334992,-0.18794272586349378
-0.2271815392915302,-0.2244297842696097
-0.23082816442360074,-0.22984778778974466
-0.21465149621477642,-0.2155276139751959
-0.22462292362509384,-0.22146615987855392
-0.2304754580583677,-0.22991338103087536
-0.22171757966741143,-0.2207957045366303
-0.22899887378357847,-0.22912924026039494
-0.197578116907902,-0.20414037819900438
0.966059962735801,0.772154342856974
-0.22040240339027126,-0.21870673368463356
-0.22297895327866862,-0.22327269159192872
-0.21001251080086375,-0.21186822161842517
-0.17822709141198023,-0.1831784180658933
-0.21819051601508094,-0.21880857819183072
-0.21844159512253497,-0.21581652422299624
-0.2213947636721134,-0.2191703725344303
